pdv_id,regiao,uf,municipio,tipo_estabelecimento,tier_historico,volume_q4_2024_hl,volume_q4_2025_hl,delta_volume_yoy_pct,share_ardor_pct,gasto_posm_trim_brl,visitas_promotor_mes,posm_instalado_cod,nps_dono_q4_2024,nps_dono_q4_2025,meses_no_programa,concorrentes_premium_no_pdv,evento_ativacional_2025
PDV-02064,Sul,PR,Curitiba,gastrobar,A,109.3,117.8,7.8,25.0,2194.0,6,BAL|CHP|FRZ|KVI|LUM|MES,44,22,47,1,0
PDV-00727,Sudeste,SP,Campinas,restaurante,C,9.8,9.3,-5.1,15.9,792.0,3,BAL|CHP|LUM,46,31,37,0,0
PDV-03345,Centro-Oeste,MS,Campo Grande,restaurante,A,74.9,39.6,-47.1,28.2,2013.0,5,BAL|CHP|FRZ|KVI|LUM|MES,72,49,47,4,0
PDV-00890,Sudeste,SP,Campinas,bar premium,C,7.4,7.3,-1.4,20.8,648.0,2,CHP,61,47,15,1,0
PDV-03834,Nordeste,PE,Olinda,pub,C,9.4,10.2,8.5,12.8,697.0,3,LUM,71,56,6,0,0
PDV-01576,Sudeste,SP,Santos,bar premium,C,8.7,7.2,-17.2,16.4,753.0,4,CHP,56,46,47,1,0
PDV-01410,Sudeste,SP,Santos,restaurante,B,23.9,14.4,-39.7,9.6,1131.0,4,BAL|FRZ|LUM|MES,56,51,47,4,1
PDV-03021,Centro-Oeste,DF,Brasília,choperia,B,9.5,8.5,-10.5,22.8,1204.0,4,CHP|KVI,78,78,47,1,1
PDV-03503,Nordeste,BA,Feira de Santana,bar premium,C,16.2,10.7,-34.0,12.2,782.0,3,CHP|FRZ|KVI,62,44,47,4,1
PDV-02164,Sul,RS,Pelotas,gastrobar,C,7.8,4.2,-46.2,21.8,709.0,3,CHP|LUM|MES,53,39,47,5,0
PDV-02946,Centro-Oeste,DF,Brasília,restaurante,C,11.7,10.5,-10.3,11.7,758.0,4,LUM,67,57,47,1,1
PDV-00650,Sudeste,RJ,Rio de Janeiro,pub,C,15.5,14.3,-7.7,13.2,703.0,4,BAL|CHP|LUM,67,59,47,1,0
PDV-02020,Sul,PR,Londrina,pub,C,9.3,8.0,-14.0,15.6,894.0,5,LUM|MES,68,52,47,2,1
PDV-00016,Sudeste,RJ,Rio de Janeiro,restaurante,C,21.2,19.0,-10.4,7.0,655.0,2,FRZ|KVI|MES,75,55,47,0,0
PDV-01586,Sudeste,MG,Belo Horizonte,restaurante,B,49.1,48.3,-1.6,30.2,1339.0,4,BAL|CHP|KVI|LUM,60,50,47,0,0
PDV-02384,Sul,SC,Balneário Camboriú,bar premium,C,9.6,9.5,-1.0,15.7,737.0,3,MES,53,47,47,1,0
PDV-02653,Sul,RS,Pelotas,bar premium,B,29.1,29.1,0.0,24.8,1187.0,4,BAL|FRZ|LUM,83,85,47,0,0
PDV-03300,Centro-Oeste,DF,Brasília,gastrobar,B,34.2,32.8,-4.1,23.8,1696.0,4,BAL|FRZ,79,76,14,0,0
PDV-03674,Nordeste,CE,Juazeiro do Norte,gastrobar,A,72.2,76.3,5.7,29.4,2580.0,8,BAL|CHP|FRZ|LUM,57,58,6,1,1
PDV-00398,Sudeste,SP,São José dos Campos,rooftop,A,97.8,54.4,-44.4,29.8,2239.0,5,BAL|CHP|FRZ|KVI|LUM|MES,65,46,47,4,1
PDV-03667,Nordeste,CE,Fortaleza,bar premium,C,6.0,5.5,-8.3,19.5,694.0,3,BAL|CHP,67,46,47,3,0
PDV-03586,Nordeste,BA,Feira de Santana,bar premium,C,4.0,4.6,15.0,18.7,748.0,2,CHP|LUM,76,71,47,1,0
PDV-01180,Sudeste,RJ,Petrópolis,choperia,B,36.7,22.9,-37.6,18.1,1477.0,3,CHP|FRZ,47,35,18,4,0
PDV-01102,Sudeste,SP,Santos,restaurante,C,16.7,14.7,-12.0,16.6,642.0,3,KVI|LUM,70,66,42,1,1
PDV-00429,Sudeste,SP,Santos,gastrobar,C,28.0,24.1,-13.9,25.6,635.0,3,KVI,55,43,47,2,0
PDV-00610,Sudeste,RJ,Niterói,pub,A,74.3,38.1,-48.7,33.1,2232.0,5,BAL|LUM|MES,61,39,21,3,1
PDV-00197,Sudeste,RJ,Niterói,gastrobar,B,33.8,33.5,-0.9,10.6,1268.0,2,BAL|CHP,56,49,47,0,1
PDV-01566,Sudeste,MG,Juiz de Fora,bar premium,A,39.8,31.7,-20.4,34.0,2245.0,6,BAL|CHP|FRZ|LUM,57,48,47,2,1
PDV-02985,Centro-Oeste,MS,Campo Grande,gastrobar,B,51.1,29.6,-42.1,27.5,1176.0,3,BAL|KVI|LUM|MES,40,33,47,4,0
PDV-00513,Sudeste,SP,Ribeirão Preto,restaurante,B,41.2,38.0,-7.8,28.0,1455.0,3,BAL|CHP|LUM,34,32,47,0,0
PDV-00523,Sudeste,SP,São José dos Campos,bar premium,B,45.8,28.2,-38.4,29.7,1211.0,5,BAL|FRZ,61,47,47,3,0
PDV-02887,Centro-Oeste,DF,Brasília,bar premium,B,32.6,22.2,-31.9,26.1,1237.0,4,KVI|MES,76,66,47,3,0
PDV-01728,Sudeste,SP,Santos,bar premium,C,8.5,7.2,-15.3,11.0,636.0,3,MES,85,73,47,1,1
PDV-00655,Sudeste,SP,Campinas,bar premium,A,99.6,54.1,-45.7,27.1,2576.0,5,CHP|FRZ|KVI|MES,52,40,47,5,1
PDV-01775,Sudeste,MG,Juiz de Fora,bar premium,A,118.9,97.4,-18.1,26.3,2808.0,7,BAL|FRZ|LUM,40,41,47,0,0
PDV-01504,Sudeste,RJ,Niterói,bar premium,B,32.7,27.3,-16.5,19.3,1280.0,3,CHP|FRZ|KVI|LUM,55,43,47,2,1
PDV-03050,Centro-Oeste,MS,Campo Grande,choperia,B,26.7,22.9,-14.2,17.5,1084.0,3,BAL|KVI,45,30,47,0,1
PDV-03348,Centro-Oeste,DF,Brasília,pub,C,18.6,17.6,-5.4,17.4,759.0,3,BAL|KVI|MES,70,43,12,0,0
PDV-00738,Sudeste,ES,Vitória,gastrobar,B,74.9,66.3,-11.5,17.9,1558.0,4,BAL|FRZ|KVI|LUM,72,65,35,0,0
PDV-02492,Sul,PR,Maringá,bar premium,A,141.3,133.2,-5.7,31.6,2139.0,7,BAL|CHP|FRZ|KVI|LUM|MES,48,37,14,2,0
PDV-02744,Sul,RS,Porto Alegre,bar premium,C,5.0,3.2,-36.0,17.1,781.0,3,BAL|KVI,57,42,47,3,0
PDV-01278,Sudeste,SP,Campinas,choperia,C,14.1,13.9,-1.4,7.5,725.0,3,LUM,43,39,47,1,0
PDV-00347,Sudeste,RJ,Niterói,pub,C,14.5,13.4,-7.6,14.0,739.0,3,CHP|FRZ|KVI,66,69,47,0,0
PDV-01936,Sudeste,SP,São José dos Campos,restaurante,C,12.4,10.7,-13.7,24.6,759.0,3,CHP|FRZ,70,66,47,1,0
PDV-00288,Sudeste,SP,Campinas,choperia,B,46.4,43.2,-6.9,15.9,1275.0,5,BAL|CHP|KVI|LUM,66,55,37,0,0
PDV-03677,Nordeste,PE,Olinda,bar premium,B,15.9,19.1,20.1,13.8,1216.0,5,BAL|CHP|KVI|MES,56,48,47,0,0
PDV-02943,Centro-Oeste,DF,Brasília,restaurante,B,30.3,30.9,2.0,18.5,1306.0,5,BAL|KVI,65,59,37,1,0
PDV-00877,Sudeste,SP,Santos,pub,C,9.7,8.9,-8.2,7.4,676.0,6,CHP|LUM|MES,72,56,47,0,0
PDV-00108,Sudeste,MG,Uberlândia,pub,A,61.5,33.5,-45.5,30.2,2288.0,5,BAL|CHP|FRZ|KVI|MES,68,53,14,4,0
PDV-02513,Sul,SC,Balneário Camboriú,gastrobar,B,46.2,42.5,-8.0,12.6,1263.0,4,CHP|FRZ|KVI|MES,75,55,47,1,1
PDV-03601,Nordeste,PE,Caruaru,restaurante,C,8.1,4.5,-44.4,19.4,708.0,4,CHP|FRZ,54,33,34,5,1
PDV-00609,Sudeste,SP,Ribeirão Preto,pub,C,8.6,5.9,-31.4,22.3,651.0,4,CHP|LUM,66,33,47,3,1
PDV-00560,Sudeste,SP,Campinas,gastrobar,A,163.7,76.0,-53.6,33.7,2475.0,5,CHP|FRZ|KVI|LUM|MES,75,68,38,4,1
PDV-01129,Sudeste,SP,Santos,choperia,A,96.7,61.8,-36.1,37.0,2836.0,3,BAL|CHP|FRZ|LUM,71,55,47,3,0
PDV-03506,Nordeste,PE,Caruaru,bar premium,A,42.7,44.8,4.9,28.3,2409.0,6,BAL|FRZ|LUM|MES,38,30,47,1,1
PDV-00496,Sudeste,SP,Santos,restaurante,C,8.4,8.0,-4.8,7.1,710.0,4,FRZ|LUM|MES,59,47,47,1,1
PDV-02350,Sul,RS,Porto Alegre,restaurante,A,153.7,86.8,-43.5,47.9,2385.0,4,BAL|CHP|FRZ|KVI|LUM|MES,69,57,16,3,0
PDV-03668,Nordeste,CE,Fortaleza,restaurante,A,166.9,185.8,11.3,25.1,2009.0,7,BAL|FRZ|KVI|MES,61,61,47,1,0
PDV-00809,Sudeste,SP,São José dos Campos,pub,B,41.8,42.1,0.7,18.5,1182.0,3,BAL|KVI|LUM|MES,53,41,47,1,0
PDV-01530,Sudeste,SP,Campinas,rooftop,B,61.4,57.3,-6.7,25.7,1194.0,4,CHP|LUM|MES,38,36,47,0,0
PDV-00105,Sudeste,RJ,Petrópolis,gastrobar,A,121.9,56.5,-53.7,31.4,2793.0,5,BAL|CHP|FRZ|KVI|LUM|MES,46,31,47,5,1
PDV-01354,Sudeste,SP,Ribeirão Preto,pub,C,8.2,4.6,-43.9,26.0,764.0,5,FRZ|KVI,49,38,47,5,1
PDV-02808,Sul,PR,Maringá,pub,C,6.4,5.3,-17.2,14.0,837.0,4,CHP|KVI,53,30,40,2,0
PDV-01497,Sudeste,SP,Santos,bar premium,A,136.4,109.4,-19.8,32.5,2159.0,7,BAL|CHP|FRZ|KVI|LUM|MES,50,44,47,2,0
PDV-01781,Sudeste,RJ,Rio de Janeiro,pub,B,66.1,56.0,-15.3,17.9,903.0,5,BAL|CHP|FRZ|KVI,67,52,47,1,1
PDV-01523,Sudeste,MG,Juiz de Fora,rooftop,A,120.5,114.1,-5.3,31.5,2610.0,6,BAL|FRZ|KVI|LUM,66,51,18,1,0
PDV-01085,Sudeste,SP,São Paulo,bar premium,A,71.7,60.5,-15.6,37.2,2753.0,7,BAL|CHP|FRZ|KVI|MES,53,45,47,1,1
PDV-01581,Sudeste,RJ,Niterói,gastrobar,B,73.3,49.9,-31.9,28.3,1337.0,2,CHP|FRZ|KVI|MES,65,54,47,3,0
PDV-03482,Nordeste,PE,Caruaru,bar premium,C,7.5,7.9,5.3,5.7,699.0,2,BAL|FRZ|MES,60,50,31,0,0
PDV-03336,Centro-Oeste,MT,Cuiabá,bar premium,C,17.6,9.5,-46.0,31.9,704.0,4,LUM,76,58,47,5,0
PDV-03584,Nordeste,BA,Feira de Santana,bar premium,A,49.7,33.3,-33.0,25.2,2907.0,6,CHP|LUM|MES,60,54,47,3,0
PDV-03733,Nordeste,CE,Juazeiro do Norte,pub,C,10.2,10.5,2.9,11.7,739.0,2,BAL|LUM|MES,54,51,47,0,1
PDV-01381,Sudeste,SP,Campinas,bar premium,A,80.0,68.4,-14.5,33.4,2046.0,8,BAL|CHP|FRZ|KVI|LUM|MES,56,28,32,2,0
PDV-02586,Sul,RS,Porto Alegre,gastrobar,A,185.4,105.0,-43.4,23.9,2262.0,4,BAL|CHP|FRZ|KVI|LUM|MES,48,39,47,5,1
PDV-00241,Sudeste,ES,Vitória,bar premium,B,24.0,21.5,-10.4,15.7,1159.0,6,CHP|FRZ|LUM|MES,63,58,47,1,0
PDV-03373,Centro-Oeste,DF,Brasília,bar premium,C,28.9,24.0,-17.0,14.5,667.0,3,CHP|KVI,50,23,47,1,1
PDV-03349,Centro-Oeste,GO,Goiânia,bar premium,B,37.1,25.0,-32.6,25.4,1171.0,4,BAL|CHP|KVI|MES,68,67,47,3,1
PDV-03573,Nordeste,RN,Natal,bar premium,C,14.0,15.2,8.6,20.4,695.0,2,FRZ,56,53,13,0,0
PDV-01259,Sudeste,SP,São José dos Campos,pub,B,17.2,15.9,-7.6,23.5,1115.0,4,BAL|FRZ,61,51,27,1,1
PDV-00668,Sudeste,SP,São José dos Campos,gastrobar,B,39.1,35.8,-8.4,28.5,1558.0,4,BAL|CHP,70,62,47,1,1
PDV-00950,Sudeste,MG,Juiz de Fora,bar premium,A,175.6,90.2,-48.6,30.0,2687.0,5,CHP|FRZ|KVI|LUM,51,41,47,5,1
PDV-00365,Sudeste,SP,Ribeirão Preto,gastrobar,A,86.7,46.5,-46.4,29.3,2319.0,4,BAL|FRZ|KVI|LUM|MES,62,53,47,5,1
PDV-02567,Sul,RS,Pelotas,bar premium,C,9.0,4.6,-48.9,26.6,668.0,4,MES,53,44,25,4,0
PDV-03671,Nordeste,CE,Fortaleza,restaurante,B,19.3,23.9,23.8,16.8,1052.0,5,BAL|CHP|FRZ|MES,59,51,10,0,1
PDV-03588,Nordeste,RN,Natal,rooftop,B,23.4,26.7,14.1,19.4,1247.0,5,FRZ|KVI|MES,79,74,47,0,0
PDV-03827,Nordeste,PE,Recife,pub,B,18.5,22.0,18.9,18.1,1200.0,4,BAL|MES,70,60,47,0,0
PDV-01702,Sudeste,SP,São Paulo,bar premium,B,37.7,29.3,-22.3,26.6,1537.0,3,BAL|FRZ|KVI,55,37,47,2,1
PDV-02764,Sul,PR,Curitiba,bar premium,C,16.3,11.1,-31.9,3.0,685.0,5,CHP|FRZ|MES,57,40,47,4,1
PDV-01580,Sudeste,SP,Ribeirão Preto,restaurante,B,26.8,24.4,-9.0,25.2,1183.0,5,BAL|CHP|KVI|MES,67,49,47,2,0
PDV-01538,Sudeste,MG,Belo Horizonte,gastrobar,A,112.0,96.0,-14.3,20.9,2042.0,7,BAL|CHP|KVI|LUM|MES,65,61,47,2,0
PDV-03242,Centro-Oeste,GO,Anápolis,bar premium,A,189.5,162.7,-14.1,34.7,2427.0,7,BAL|FRZ|KVI|LUM|MES,33,18,47,2,1
PDV-01078,Sudeste,RJ,Niterói,gastrobar,B,27.3,20.0,-26.7,19.1,1461.0,5,BAL|CHP|FRZ|LUM,45,40,47,3,0
PDV-01109,Sudeste,SP,Campinas,restaurante,A,173.8,151.5,-12.8,26.9,3075.0,6,CHP|FRZ|LUM,52,41,47,2,0
PDV-00185,Sudeste,MG,Uberlândia,choperia,A,33.6,19.8,-41.1,22.8,2207.0,6,BAL|CHP|FRZ|KVI|LUM|MES,64,67,47,3,0
PDV-01127,Sudeste,RJ,Rio de Janeiro,rooftop,A,99.1,76.5,-22.8,26.3,2611.0,5,BAL|CHP|FRZ|KVI,66,55,47,2,0
PDV-02893,Centro-Oeste,DF,Brasília,rooftop,C,9.5,9.3,-2.1,5.4,593.0,2,BAL|FRZ|KVI,54,51,40,2,1
PDV-00033,Sudeste,SP,Ribeirão Preto,bar premium,B,25.5,23.4,-8.2,19.3,1088.0,2,CHP|FRZ,65,57,47,1,0
PDV-01179,Sudeste,RJ,Niterói,gastrobar,A,66.9,55.2,-17.5,23.9,2595.0,6,BAL|FRZ|KVI,61,43,12,1,1
PDV-03333,Centro-Oeste,GO,Goiânia,restaurante,A,71.7,53.4,-25.5,24.1,1949.0,6,BAL|CHP|FRZ|KVI|MES,51,41,47,2,1
PDV-00674,Sudeste,MG,Belo Horizonte,bar premium,B,29.6,13.8,-53.4,23.8,1216.0,4,KVI|MES,57,44,47,5,1
PDV-00672,Sudeste,SP,São Paulo,restaurante,B,19.0,16.3,-14.2,23.9,1111.0,3,CHP|FRZ|KVI|LUM,57,39,47,1,0
PDV-03426,Nordeste,PE,Recife,choperia,C,16.3,16.4,0.6,15.9,826.0,3,KVI|LUM,64,54,37,2,0
PDV-00702,Sudeste,SP,São Paulo,restaurante,A,168.2,108.9,-35.3,27.8,2236.0,5,BAL|CHP|MES,54,37,47,3,1
PDV-00311,Sudeste,SP,Campinas,bar premium,C,8.8,8.2,-6.8,10.8,688.0,4,BAL|LUM|MES,82,66,28,0,0
PDV-03796,Nordeste,BA,Salvador,choperia,C,7.8,8.8,12.8,20.9,866.0,2,BAL|FRZ,62,48,47,1,0
PDV-00076,Sudeste,SP,São Paulo,rooftop,C,7.6,7.4,-2.6,21.3,781.0,1,CHP|KVI|MES,68,65,47,1,0
PDV-01676,Sudeste,MG,Belo Horizonte,restaurante,C,16.4,11.3,-31.1,10.4,611.0,5,FRZ|KVI,64,58,31,3,1
PDV-01066,Sudeste,SP,São José dos Campos,bar premium,C,7.8,4.2,-46.2,17.3,693.0,5,BAL|LUM,72,71,47,4,0
PDV-02282,Sul,SC,Balneário Camboriú,bar premium,A,70.3,61.4,-12.7,30.2,2404.0,7,BAL|CHP|FRZ|KVI|MES,78,68,32,1,0
PDV-02302,Sul,SC,Joinville,restaurante,B,33.1,26.6,-19.6,27.5,1169.0,3,BAL|CHP|LUM,44,35,47,4,1
PDV-02650,Sul,RS,Porto Alegre,gastrobar,A,138.9,111.4,-19.8,29.2,2723.0,6,BAL|CHP|FRZ|MES,74,61,47,2,0
PDV-02364,Sul,PR,Maringá,pub,B,26.9,27.9,3.7,18.9,1222.0,4,FRZ|KVI|LUM|MES,77,75,47,0,0
PDV-02096,Sul,SC,Florianópolis,gastrobar,A,87.0,81.5,-6.3,23.6,2590.0,6,BAL|FRZ|LUM,72,64,26,2,1
PDV-00911,Sudeste,SP,Santos,bar premium,C,13.9,11.8,-15.1,11.6,759.0,3,BAL|LUM,57,54,47,1,1
PDV-00054,Sudeste,MG,Belo Horizonte,bar premium,A,102.0,76.8,-24.7,27.8,1855.0,8,BAL|CHP|KVI|LUM,53,54,47,2,0
PDV-01553,Sudeste,MG,Juiz de Fora,bar premium,A,108.7,66.9,-38.5,23.4,2269.0,5,FRZ|KVI|LUM|MES,52,39,47,3,1
PDV-01810,Sudeste,SP,São Paulo,pub,C,8.2,5.5,-32.9,9.7,647.0,3,CHP|FRZ|KVI,61,46,24,3,0
PDV-02126,Sul,SC,Florianópolis,bar premium,B,24.3,23.4,-3.7,17.3,1066.0,5,CHP|FRZ|KVI|LUM,51,53,17,0,0
PDV-03471,Nordeste,BA,Feira de Santana,bar premium,C,9.6,10.1,5.2,10.8,706.0,2,BAL|CHP|LUM,58,56,41,0,1
PDV-03648,Nordeste,PE,Recife,choperia,B,19.5,21.9,12.3,10.0,1513.0,6,BAL|FRZ|KVI,62,57,47,1,1
PDV-01365,Sudeste,SP,Campinas,pub,A,230.2,154.5,-32.9,22.7,2401.0,7,BAL|CHP|KVI|MES,66,55,39,5,1
PDV-03137,Centro-Oeste,GO,Goiânia,rooftop,A,78.6,46.0,-41.5,28.8,2235.0,4,BAL|CHP|LUM|MES,43,33,47,4,1
PDV-03709,Nordeste,PE,Olinda,gastrobar,B,26.4,26.1,-1.1,21.0,1159.0,5,FRZ|KVI,34,25,38,0,0
PDV-00863,Sudeste,SP,São José dos Campos,restaurante,C,25.1,18.6,-25.9,26.6,672.0,4,KVI,60,42,19,1,0
PDV-01355,Sudeste,SP,São Paulo,bar premium,C,11.5,11.6,0.9,20.8,737.0,3,FRZ|LUM|MES,45,51,47,0,0
PDV-01045,Sudeste,SP,Santos,bar premium,C,11.9,5.6,-52.9,18.1,756.0,3,BAL,49,45,47,5,0
PDV-00128,Sudeste,RJ,Niterói,gastrobar,C,10.9,10.0,-8.3,5.1,729.0,4,KVI,83,81,47,0,0
PDV-02274,Sul,RS,Porto Alegre,pub,A,70.2,24.9,-64.5,25.7,2276.0,4,BAL|CHP|FRZ|KVI|LUM|MES,38,17,22,5,1
PDV-00088,Sudeste,RJ,Petrópolis,bar premium,A,122.0,113.2,-7.2,29.4,2793.0,8,BAL|CHP|KVI,92,83,47,1,1
PDV-01626,Sudeste,ES,Vila Velha,restaurante,C,13.7,9.3,-32.1,9.9,550.0,4,KVI,62,51,6,3,0
PDV-03795,Nordeste,CE,Juazeiro do Norte,bar premium,C,8.5,9.3,9.4,15.2,638.0,2,BAL,54,38,47,0,0
PDV-00124,Sudeste,SP,São José dos Campos,bar premium,A,110.2,48.8,-55.7,28.5,2670.0,4,BAL|CHP|FRZ|KVI|LUM|MES,37,17,47,5,1
PDV-02253,Sul,RS,Pelotas,bar premium,A,168.2,156.0,-7.3,22.9,2343.0,7,BAL|FRZ|KVI|MES,79,65,13,2,1
PDV-00332,Sudeste,RJ,Petrópolis,rooftop,A,97.3,86.7,-10.9,25.2,1838.0,8,BAL|CHP|KVI|LUM|MES,64,53,29,0,0
PDV-03156,Centro-Oeste,MT,Cuiabá,choperia,C,6.4,5.4,-15.6,16.7,739.0,4,CHP|FRZ|LUM,64,59,47,2,0
PDV-03274,Centro-Oeste,GO,Anápolis,restaurante,B,12.1,10.7,-11.6,24.3,1199.0,3,BAL|CHP|KVI,64,54,47,0,0
PDV-01440,Sudeste,RJ,Petrópolis,bar premium,C,17.9,15.9,-11.2,27.7,619.0,4,CHP,55,58,37,1,1
PDV-02273,Sul,SC,Joinville,bar premium,C,9.9,10.6,7.1,9.8,667.0,2,KVI,58,50,47,0,0
PDV-01662,Sudeste,ES,Vila Velha,restaurante,A,94.9,57.8,-39.1,17.6,2357.0,4,BAL|CHP|FRZ|KVI|MES,45,29,44,4,0
PDV-00993,Sudeste,SP,Campinas,rooftop,B,23.1,21.5,-6.9,24.7,1318.0,6,BAL|CHP,41,23,47,2,0
PDV-01367,Sudeste,SP,Campinas,bar premium,C,15.8,8.2,-48.1,19.0,752.0,5,CHP|MES,66,46,47,4,0
PDV-00640,Sudeste,SP,Santos,gastrobar,C,39.9,36.2,-9.3,14.9,657.0,2,BAL|KVI,59,47,47,2,1
PDV-01146,Sudeste,SP,Ribeirão Preto,gastrobar,C,11.7,8.0,-31.6,14.0,660.0,5,FRZ|KVI|MES,68,54,41,4,1
PDV-01303,Sudeste,SP,São Paulo,pub,A,91.5,79.6,-13.0,21.6,2468.0,6,BAL|CHP|MES,61,53,47,1,1
PDV-03561,Nordeste,BA,Feira de Santana,restaurante,A,87.9,98.9,12.5,32.0,2419.0,7,BAL|CHP|FRZ|KVI|MES,59,54,47,0,0
PDV-02422,Sul,SC,Joinville,gastrobar,A,103.2,109.1,5.7,23.4,2764.0,7,BAL|CHP|KVI,52,46,47,1,0
PDV-01051,Sudeste,MG,Juiz de Fora,bar premium,C,25.4,18.7,-26.4,12.4,610.0,4,LUM,50,25,22,2,0
PDV-00195,Sudeste,SP,Campinas,restaurante,C,9.4,8.0,-14.9,18.0,776.0,3,FRZ|MES,75,62,47,1,1
PDV-03620,Nordeste,CE,Fortaleza,gastrobar,B,20.2,19.7,-2.5,13.6,1046.0,5,FRZ|KVI|LUM|MES,78,66,47,1,0
PDV-03202,Centro-Oeste,GO,Anápolis,rooftop,C,10.3,7.0,-32.0,21.9,761.0,4,BAL|CHP|KVI,63,38,13,4,0
PDV-00084,Sudeste,MG,Belo Horizonte,bar premium,C,18.2,14.8,-18.7,26.6,787.0,3,BAL|KVI|MES,73,57,17,1,0
PDV-00132,Sudeste,RJ,Niterói,restaurante,B,52.0,53.3,2.5,22.3,1348.0,5,CHP|FRZ|MES,73,67,47,0,1
PDV-01833,Sudeste,MG,Juiz de Fora,choperia,C,12.4,11.5,-7.3,14.2,734.0,3,CHP|KVI|LUM,56,43,47,0,0
PDV-02021,Sul,SC,Florianópolis,pub,B,21.7,21.1,-2.8,10.9,1540.0,5,BAL|KVI|LUM|MES,78,80,23,0,0
PDV-03193,Centro-Oeste,MT,Cuiabá,bar premium,C,14.5,12.9,-11.0,14.4,696.0,3,CHP|LUM,67,53,47,0,0
PDV-00285,Sudeste,SP,São Paulo,choperia,A,95.7,89.6,-6.4,7.5,2650.0,8,BAL|CHP|FRZ|KVI|LUM|MES,51,42,47,1,0
PDV-01670,Sudeste,SP,Ribeirão Preto,pub,C,13.6,9.1,-33.1,9.1,688.0,4,BAL|LUM,58,45,47,4,0
PDV-01007,Sudeste,SP,São José dos Campos,rooftop,C,13.6,11.0,-19.1,20.4,758.0,4,KVI|MES,69,53,8,2,1
PDV-01715,Sudeste,SP,Santos,choperia,B,24.4,23.3,-4.5,20.9,1099.0,4,FRZ|KVI|MES,47,36,47,1,0
PDV-02398,Sul,SC,Florianópolis,pub,C,9.1,9.3,2.2,13.9,702.0,3,CHP|FRZ,54,50,38,0,0
PDV-02691,Sul,SC,Balneário Camboriú,rooftop,C,33.1,24.3,-26.6,17.3,747.0,4,BAL|CHP|LUM,58,32,47,3,0
PDV-02359,Sul,PR,Curitiba,gastrobar,A,71.2,71.0,-0.3,23.2,2283.0,6,CHP|KVI|MES,54,46,36,0,1
PDV-00971,Sudeste,RJ,Petrópolis,bar premium,A,102.1,78.5,-23.1,24.0,2491.0,6,BAL|KVI|LUM,77,74,47,2,1
PDV-00244,Sudeste,MG,Uberlândia,gastrobar,A,112.2,101.2,-9.8,28.1,1991.0,7,BAL|CHP|FRZ|KVI|LUM|MES,83,80,47,1,0
PDV-01152,Sudeste,SP,Santos,pub,A,108.5,78.4,-27.7,18.5,2157.0,5,BAL|CHP|KVI|LUM,52,36,39,4,0
PDV-02298,Sul,RS,Pelotas,bar premium,C,10.6,10.2,-3.8,14.9,818.0,3,BAL|FRZ|MES,55,47,47,0,0
PDV-00575,Sudeste,ES,Vitória,bar premium,C,18.3,17.4,-4.9,10.3,625.0,3,KVI,47,40,47,1,1
PDV-02605,Sul,RS,Porto Alegre,bar premium,C,8.6,8.6,0.0,17.8,654.0,3,BAL|MES,57,37,47,1,0
PDV-00465,Sudeste,SP,Ribeirão Preto,bar premium,B,50.4,41.4,-17.9,21.0,1513.0,3,KVI|MES,59,51,47,2,0
PDV-01919,Sudeste,SP,São Paulo,gastrobar,A,156.4,146.4,-6.4,30.8,2401.0,8,BAL|CHP|FRZ|LUM|MES,70,52,47,1,0
PDV-01664,Sudeste,SP,Ribeirão Preto,pub,B,31.8,27.1,-14.8,11.8,949.0,3,BAL|KVI|MES,66,54,47,1,0
PDV-01955,Sudeste,ES,Vitória,bar premium,C,12.7,10.1,-20.5,12.9,687.0,3,CHP|FRZ|LUM,71,64,45,0,0
PDV-03140,Centro-Oeste,MS,Campo Grande,rooftop,A,75.8,77.5,2.2,22.5,2324.0,7,BAL|CHP|FRZ|KVI|LUM|MES,61,38,47,1,0
PDV-00936,Sudeste,RJ,Petrópolis,restaurante,C,4.2,3.9,-7.1,11.9,605.0,2,CHP|FRZ|KVI,68,67,47,0,0
PDV-03585,Nordeste,PE,Recife,bar premium,B,23.7,26.6,12.2,18.8,1328.0,4,FRZ|KVI|MES,70,67,11,0,0
PDV-00558,Sudeste,SP,São Paulo,restaurante,A,244.9,221.9,-9.4,22.2,2544.0,6,BAL|CHP|LUM,71,64,47,1,1
PDV-03528,Nordeste,CE,Fortaleza,restaurante,C,4.7,5.5,17.0,14.1,648.0,1,BAL|FRZ,59,57,47,0,0
PDV-00783,Sudeste,RJ,Petrópolis,rooftop,B,36.9,35.3,-4.3,29.2,1432.0,4,KVI|LUM,61,58,47,1,0
PDV-01843,Sudeste,SP,Santos,gastrobar,A,86.0,71.7,-16.6,23.3,2965.0,8,BAL|CHP|FRZ|KVI|LUM|MES,66,66,47,0,1
PDV-00907,Sudeste,RJ,Petrópolis,gastrobar,A,160.4,144.5,-9.9,26.1,2283.0,6,BAL|FRZ|KVI|LUM|MES,69,44,47,1,1
PDV-02156,Sul,SC,Balneário Camboriú,pub,A,59.8,54.0,-9.7,27.0,2826.0,4,CHP|FRZ|KVI|LUM,45,50,21,1,1
PDV-00932,Sudeste,SP,São José dos Campos,bar premium,A,161.1,96.1,-40.3,35.2,2209.0,7,BAL|CHP|LUM|MES,72,73,47,3,1
